Re: End of a Dream,‚à‚è‚à‚è‚ ‚Â‚µ,30,212,1825,
0,4,-1.5,1,4,0.5
0,6,-3,1,8,0.5
0,0,-3,1,4,0.5
0,-1,-2,1,8,0.5
0,-2,-1,1,8,0.5
0,-3,0,1,8,0.5
0,-2,1,1,8,0.5
0,-1,2,1,8,0.5
0,0,3,1,8,0.5
0,-6,2,3,8,0.5
0,-6,0,1,8,0.5
0,-6,-2,1,8,0.5
0,-5,-1,1,4,0.5
0,-4,0,1,8,0.5
0,4,3,1,4,0.5
0,4,1,1,8,0.5
0,4,-1,1,8,0.5
0,4,-2,1,8,0.5
0,4.5,-2.5,1,32,0.5
0,2,2,15,32,0.5
0,1,1,1,4,0.5
0,-6,3,1,4,0.5
0,-6,1,1,4,0.5
0,-6,-1,1,8,0.5
0,-2,2,1,4,0.5
0,0,0,1,8,0.5
0,2,-2,1,8,0.5
0,6,1,1,8,0.5
0,6,-1,1,4,0.5
0,6,-3,1,8,0.5
0,2,-2,1,4,0.5
0,0,0,1,8,0.5
0,-2,2,1,8,0.5
0,-7,3,1,8,1
0,-2,3,0,1,1
0,5,-1,3,8,1
0,6,-2,1,16,1
0,7,-3,1,16,1
0,2,-3,0,1,1
0,0,0,3,8,1
0,0,0,1,16,1
0,-3,0,1,16,1
0,3,0,0,16,1
0,3,2,1,4,1
0,3,-2,0,4,1
0,-3,2,1,4,1
0,-3,-2,0,4,1
0,0,3,1,4,1
0,0,-3,0,4,1
0,1,-3,1,4,1
0,7,-3,0,4,1
0,5,-2,1,8,1
0,1,-1,1,16,1
0,7,-1,0,4,1
0,3,0,1,8,1
0,1,1,1,16,1
0,7,1,0,4,1
0,5,2,1,8,1
0,1,3,1,16,1
0,7,3,0,4,1
0,3,4,1,8,1
0,2,-2,1,16,1
0,0,-0.75,1,16,1
0,0,0.75,1,16,1
0,-2,2,1,16,1
0,-1,3,1,16,1
0,-7,3,0,4,1
0,-3,2,1,8,1
0,-1,1,1,16,1
0,-7,1,0,4,1
0,-5,0,1,8,1
0,-1,-1,1,16,1
0,-7,-1,0,4,1
0,-3,-2,1,8,1
0,-1,-3,1,16,1
0,-7,-3,0,4,1
0,-5,-4,1,8,1
0,-3,3,1,16,1
0,-1,1,1,16,1
0,1,-1,1,16,1
0,3,-3,1,16,1
0,7,3,1,16,1
0,7,0,0,16,1
0,5,3,1,8,1
0,5,0,0,16,1
0,-7,2,1,16,1
0,-7,-1,0,16,1
0,-5,2,1,8,1
0,-5,-1,0,16,1
0,5,1,1,16,1
0,5,-2,0,16,1
0,3,1,1,8,1
0,3,-2,0,16,1
0,-5,0,1,16,1
0,-5,-3,0,16,1
0,-3,0,1,8,1
0,-3,-3,0,16,1
0,-4,2,1,16,1
0,4,-2,0,8,1
0,-4,-2,1,8,1
0,4,2,0,8,1
0,0,0,1,8,1
0,6,-3,1,8,1
0,4,-2,1,16,1
0,2,-1,1,16,1
0,0,0,1,16,1
0,2,1,1,16,1
0,4,2,1,16,1
0,-8,-4,1,16,1
0,-6,-3,1,16,1
0,-4,-2,1,16,1
0,-2,-1,1,16,1
0,0,0,1,16,1
0,-2,1,1,16,1
0,-4,2,1,16,1
0,-6,3,1,16,1
0,-7,4,1,16,1
0,-5,4,1,96,1
0,-3,4,1,96,1
0,-1,4,1,96,1
0,1,4,1,96,1
0,3,4,1,96,1
0,5,4,1,96,1
0,3,2,3,16,1
0,-3,0,0,8,1
0,7,-4,1,8,1
0,5,-4,1,96,1
0,3,-4,1,96,1
0,1,-4,1,96,1
0,-1,-4,1,96,1
0,-3,-4,1,96,1
0,-5,-4,1,96,1
0,4,-3,3,16,1
0,-4,-2,1,16,1
0,4,-1,1,16,1
0,-4,0,1,16,1
0,4,1,1,16,1
0,-4,2,1,16,1
0,0,-2,1,16,1
0,3,-2,0,16,1
0,0,0,1,16,1
0,-3,0,0,16,1
0,0,2,1,16,1
0,3,2,0,16,1
0,6,-3,1,4,1
0,7,-2.5,1,48,1
0,6,-2,1,48,1
0,7,-1.5,1,48,1
0,6,-1,1,48,1
0,7,-0.5,1,48,1
0,6,0,1,48,1
0,7,0.5,1,48,1
0,6,1,1,48,1
0,7,1.5,1,48,1
0,6,2,1,48,1
0,7,2.5,1,48,1
0,6,3,1,48,1
0,4,2,1,16,1
0,2,1,1,16,1
0,-2,-1,1,16,1
0,-4,-2,1,16,1
0,-6,-3,1,16,1
0,-7,-3,1,16,1
0,-7,-2.5,1,48,1
0,-6,-2,1,48,1
0,-7,-1.5,1,48,1
0,-6,-1,1,48,1
0,-7,-0.5,1,48,1
0,-6,0,1,48,1
0,-7,0.5,1,48,1
0,-6,1,1,48,1
0,-7,1.5,1,48,1
0,-6,2,1,48,1
0,-7,2.5,1,48,1
0,-5,3,1,48,1
0,2,-2,0,16,1
0,5,-1,1,16,1
0,-2,-1,0,16,1
0,-5,0,1,16,1
0,2,0,0,16,1
0,5,1,1,16,1
0,-2,1,0,16,1
0,-5,2,1,16,1
0,2,2,0,16,1
0,-3,0,1,8,1
0,3,0,0,8,1
0,0,2,1,4,1
0,0,-2,0,4,1
0,-3,-2,1,4,1
0,3,2,0,8,1
0,-3,2,1,8,1
0,3,-2,0,8,1
0,-3,-2,1,8,1
0,3,2,0,8,1
0,-3,2,1,8,1
0,3,-2,0,8,1
0,0,0,1,4,1
0,-8,3,1,4,0.75
0,-3,3,0,4,0.75
0,3,0,1,4,0.75
0,-8,2,1,8,0.75
0,-3,2,0,4,0.75
0,2,-1,1,1,0.75
0,-8,0,1,8,0.75
0,-3,0,0,4,0.75
0,1,-2,1,4,0.75
0,0,-3,1,8,0.75
0,-8,-2,1,8,0.5
0,-3,-2,0,4,0.5
0,1,-1,1,4,0.5
0,-8,-3,1,8,0.5
0,-3,-3,0,4,0.5
0,2,-2,1,4,0.25
0,0,0,3,8,0.25
0,3,0,3,8,0.25
0,-3,0,0,4,0.25
0,8,3,5,8,0.75
0,3,3,0,4,0.75
0,-3,2,1,4,0.75
0,8,2,1,8,0.75
0,3,2,0,4,0.75
0,-2,1,1,1,0.75
0,8,0,1,8,0.75
0,3,0,0,4,0.75
0,-1,0,1,4,0.75
0,0,1,1,8,0.75
0,8,-2,1,8,0.5
0,3,-2,0,4,0.5
0,-1,2,1,4,0.5
0,8,-3,1,8,0.5
0,3,-3,0,4,0.5
0,-6,0,1,8,0.5
0,-5,-0.5,1,24,0.5
0,-4,-1,1,24,0.5
0,-3,-1.5,1,24,0.5
0,0,0,3,8,0.25
0,3,0,3,8,0.25
0,-3,0,0,4,0.25
0,0,0,3,8,1
0,0,0,1,32,1
0,0,0,1,32,1
0,0,0,1,32,1
0,0,0,1,32,1
0,0,0,1,32,1
0,0,0,1,32,1
0,0,0,1,32,1
0,3,-3,1,32,1
0,-3,-3,1,8,1
0,0,3,1,8,1
0,-6,-2,1,8,1
0,6,2,1,16,1
0,-6,2,1,8,1
0,6,-2,1,16,1
0,-6,-3,1,8,1
0,-2,-2,1,16,1
0,-4,-1,1,16,1
0,0,0,1,16,1
0,3,2,1,16,1
0,6,0,1,16,1
0,3,-2,1,16,1
0,0,-3,1,8,1
0,-3,2,1,8,1
0,0,0,1,16,1
0,3,-2,1,16,1
0,-5,-3,1,8,1
0,4,0,1,8,1
0,3,2,1,8,1
0,-3,3,1,8,1
0,3,3,1,8,1
0,0,-3,1,8,1
0,6,3,1,8,1
0,-4,2,1,16,1
0,-6,-2,1,8,1
0,4,-3,1,16,1
0,4,2,1,8,1
0,6,1,1,16,1
0,4,0,1,16,1
0,6,-1,1,16,1
0,4,-2,1,16,1
0,-6,-3,1,8,1
0,-5,0,1,16,1
0,6,-2,1,8,1
0,5,1,1,16,1
0,3,2,1,8,1
0,2,-1,1,8,1
0,-3,1,1,8,1
0,-2,-2,1,8,1
0,-6,3,1,8,1
0,-3,3,0,8,1
0,-2,1,3,8,1
0,2,-1,1,16,1
0,6,2,1,16,1
0,3,2,0,8,1
0,2,1,3,8,1
0,-2,-1,1,16,1
0,-6,-3,1,16,1
0,-3,-3,0,8,1
0,-2,1,3,8,1
0,2,-1,1,16,1
0,6,-2,1,16,1
0,3,-2,0,8,1
0,2,1,3,8,1
0,-2,-1,1,16,1
0,-7,-4,1,16,1
0,-2,-4,0,12,1
0,7,-3,1,6,1
0,2,-3,0,12,1
0,4,-2,1,12,1
0,-5,-2,1,12,1
0,0,-2,0,12,1
0,2,-1,1,12,1
0,5,-1,1,12,1
0,0,-1,0,12,1
0,-2,0,1,12,1
0,-7,0,1,12,1
0,-2,0,0,12,1
0,-4,1,1,12,1
0,7,1,1,12,1
0,2,1,0,12,1
0,4,2,1,12,1
0,-5,2,1,12,1
0,0,2,0,12,1
0,2,1,1,12,1
0,5,1,1,12,1
0,0,1,0,12,1
0,-2,0,1,12,1
0,-7,0,1,12,1
0,-2,0,0,12,1
0,-4,-1,1,12,1
0,7,-1,1,12,1
0,2,-1,0,12,1
0,6,-1,1,16,1
0,4,1,1,16,1
0,2,-1,1,16,1
0,0,1,1,16,1
0,-2,-1,1,16,1
0,-4,1,1,16,1
0,-6,-1,1,16,1
0,-4,0,1,16,1
0,-6,-4,1,8,1
0,-2,-2,1,16,1
0,-6,-2,1,8,1
0,-2,0,1,16,1
0,4,-3,1,8,1
0,1,-2,1,16,1
0,-2,-1,1,16,1
0,1,0,1,16,1
0,4,1,1,16,1
0,7,2,1,16,1
0,4,0,1,16,1
0,6,-4,1,4,1
0,2,-2,1,16,1
0,6,-2,1,8,1
0,2,0,1,16,1
0,-4,-3,1,8,1
0,-1,-2,1,16,1
0,2,-1,1,16,1
0,-1,0,1,16,1
0,-6,-4,1,16,1
0,-5.5,-3,1,96,1
0,-5,-3.5,1,96,1
0,-4.5,-2.5,1,96,1
0,-4,-3,1,96,1
0,-3.5,-2,1,96,1
0,-3,-2.5,1,96,1
0,-2.5,-1.5,1,96,1
0,-2,-2,1,96,1
0,-1.5,-1,1,96,1
0,-1,-1.5,1,96,1
0,-0.5,-0.5,1,96,1
0,0.5,0.5,1,96,1
0,1,1.5,1,96,1
0,1.5,1,1,96,1
0,2,2,1,96,1
0,2.5,1.5,1,96,1
0,3,2.5,1,96,1
0,3.5,2,1,96,1
0,4,3,1,96,1
0,4.5,2.5,1,96,1
0,5,3.5,1,96,1
0,5.5,3,1,96,1
0,6,4,1,96,1
0,4,0,1,96,1
0,6,-3,1,8,1
0,2,-2.5,1,16,1
0,2,-0.5,1,8,1
0,6,0,1,16,1
0,-6,-3,1,8,1
0,-2,-2,1,16,1
0,-4,-1,1,16,1
0,0,0,1,16,1
0,-2,1,1,16,1
0,0,-2,1,8,1
0,4,0,1,16,1
0,7,3,1,16,1
0,8,0,1,8,1
0,7,0,1,96,1
0,6,0,1,96,1
0,5,0,1,96,1
0,4,0,1,96,1
0,3,0,1,96,1
0,2,0,1,96,1
0,1,0,1,96,1
0,0,0,1,96,1
0,-7,-3,1,24,1
0,-8,0,1,8,1
0,-7,0,1,96,1
0,-6,0,1,96,1
0,-5,0,1,96,1
0,-4,0,1,96,1
0,-3,0,1,96,1
0,-2,0,1,96,1
0,-1,0,1,96,1
0,0,0,1,96,1
0,0,2,1,24,1
0,0,-2,1,8,1
0,0,0,1,4,1
0,-4,0,1,8,1
0,-6,-3,1,8,1
0,-6,-1,1,16,1
0,-2,0,1,8,1
0,-2,2,1,16,1
0,0,-4,1,8,1
0,4,-3,1,16,1
0,2,-2,1,16,1
0,6,-1,1,16,1
0,4,0,1,16,1
0,8,1,1,16,1
0,2,2,1,16,1
0,6,3,1,16,1
0,4,0,1,16,1
0,6,1,1,8,1
0,6,3,1,16,1
0,2,0,1,8,1
0,2,2,1,16,1
0,0,-4,1,8,1
0,-4,-3,1,16,1
0,-2,-2,1,16,1
0,-6,-1,1,16,1
0,-5,-1.5,1,24,1
0,-4,-2,1,24,1
0,-4,0,1,24,1
0,-8,1,1,16,1
0,-2,2,1,16,1
0,0,2,1,16,1
0,-2,-2,1,6,1
0,2,-2,1,6,1
0,0,-2,1,6,1
0,2,2,1,6,1
0,-2,2,1,6,1
0,6,-3,1,6,1
0,4,0,1,12,1
0,2,3,1,12,1
0,-6,-3,1,12,1
0,-4,0,1,12,1
0,-2,3,1,12,1
0,0,0,1,12,1
0,0,4,1,4,1
0,0,3,1,48,1
0,0,2,1,48,1
0,0,1,1,48,1
0,0,0,1,48,1
0,0,-1,1,48,1
0,0,-2,1,48,1
0,0,-3,1,48,1
0,0,-4,1,48,1
0,-6,-3,1,12,1
0,-2,-2.5,1,8,1
0,-2,-0.5,1,8,1
0,-6,0,1,8,1
0,2,-4,1,8,1
0,8,-2,1,16,1
0,6,0,1,16,1
0,8,2,1,16,1
0,2,4,1,16,1
0,3,2,1,8,1
0,-3,-2,1,16,1
0,6,-3,1,16,1
0,2,-2.5,1,8,1
0,2,-0.5,1,8,1
0,6,0,1,8,1
0,-2,-4,1,8,1
0,-8,-2,1,16,1
0,-6,0,1,16,1
0,-8,2,1,16,1
0,-2,4,1,16,1
0,-3,2,1,8,1
0,3,-2,1,16,1
0,-4,-2,1,16,1
0,0,-1,1,8,1
0,4,0,1,8,1
0,0,1,1,8,1
0,-5,-4,1,8,1
0,3,-2,1,16,1
0,0,0,1,16,1
0,3,2,1,16,1
0,-5,4,1,16,1
0,0,0,1,8,1
0,5,-4,1,8,1
0,-3,-2,1,16,1
0,0,0,1,16,1
0,-3,2,1,16,1
0,5,4,1,16,1
0,0,0,1,8,1
0,8,2,1,8,1
0,8,2,1,8,1
0,7,2,1,96,1
0,6,2,1,96,1
0,5,2,1,96,1
0,4,2,1,96,1
0,3,2,1,96,1
0,2,2,1,96,1
0,1,2,1,96,1
0,0,2,1,96,1
0,-8,-2,1,24,1
0,-8,-2,1,8,1
0,-7,-2,1,96,1
0,-6,-2,1,96,1
0,-5,-2,1,96,1
0,-4,-2,1,96,1
0,-3,-2,1,96,1
0,-2,-2,1,96,1
0,-1,-2,1,96,1
0,0,-2,1,96,1
0,4,0,1,24,1
0,-4,0,1,8,1
0,-2,0,1,4,1
0,2,0,1,4,1
0,0,0,1,4,1
0,3,-2,1,4,1
0,-2,0,1,16,1
0,3,2,1,16,1
0,-3,-2,1,8,1
0,2,0,1,8,1
0,-3,2,1,8,1
0,0,3,1,8,1
0,0,-3,1,8,1
0,-8,-4,1,8,1
0,-7,-3,1,48,1
0,-6,-2,1,48,1
0,-5,-1,1,48,1
0,0,-2,1,8,1
0,-1,-1,1,48,1
0,-2,0,1,48,1
0,-3,1,1,48,1
0,-4,0,1,8,1
0,8,-4,1,8,1
0,7,-3,1,48,1
0,6,-2,1,48,1
0,5,-1,1,48,1
0,0,-2,1,8,1
0,1,-1,1,48,1
0,2,0,1,48,1
0,3,1,1,48,1
0,4,0,1,8,1
0,-4,0,1,8,1
0,-3,1,1,48,1
0,-2,2,1,48,1
0,-1,3,1,48,1
0,4,0,1,8,1
0,3,1,1,48,1
0,2,2,1,48,1
0,1,3,1,48,1
0,0,0,1,8,1
0,8,3,1,8,1
0,7,2.75,1,48,1
0,5,2.5,1,48,1
0,4,2.25,1,48,1
0,2,2,1,48,1
0,1,1.75,1,48,1
0,0,1.5,1,48,1
0,-1,1.25,1,48,1
0,-2,1,1,48,1
0,-4,0.75,1,48,1
0,-5,0.5,1,48,1
0,-7,0.25,1,48,1
0,-8,0,1,48,1
0,-7,-1,1,96,1
0,-5,-1,1,96,1
0,-4,-1,1,96,1
0,-2,-1,1,96,1
0,-1,-2,1,96,1
0,0,-2,1,96,1
0,1,-2,1,96,1
0,2,-2,1,96,1
0,4,-3,1,96,1
0,5,-3,1,96,1
0,7,-3,1,96,1
0,8,-3,1,96,1
0,0,0,1,8,0.75
0,3,0,1,4,0.75
0,6,3,1,4,0.75
0,5,2.5,1,12,0.75
0,4,2,1,12,0.75
0,3,1.5,1,12,0.75
0,2,1,1,12,0.75
0,1,0.5,1,12,0.75
0,-6,0,1,12,0.75
0,-5,-0.5,1,12,0.75
0,-4,-1,1,12,0.75
0,-3,-1.5,1,12,0.75
0,-2,-2,1,12,0.75
0,-1,-2.5,1,12,0.75
0,-3,2,1,12,0.75
0,3,2,1,4,0.75
0,0,0,1,4,0.75
0,-2,0,1,4,0.75
0,-6,0,1,16,0.75
0,-2,0,1,16,0.75
0,-6,0,1,16,0.75
0,-2,0,1,16,0.75
0,-6,0,1,16,0.75
0,-2,0,1,16,0.75
0,-6,0,1,16,0.75
0,-2,0,1,16,0.75
0,-6,0,1,16,0.75
0,-2,0,1,16,0.75
0,-6,0,1,16,0.75
0,6,0,1,24,0.75
0,2,0,1,24,0.75
0,6,0,1,24,0.75
0,2,0,1,24,0.75
0,6,0,1,24,0.75
0,2,0,1,24,0.75
0,6,0,1,24,0.75
0,2,0,1,24,0.75
0,6,0,1,24,0.75
0,2,0,1,24,0.75
0,6,0,1,24,0.75
0,2,0,1,24,0.75
0,8,-4,1,16,1
0,4,-3,1,16,1
0,0,-2,1,16,1
0,-4,-1,1,16,1
0,-8,1,1,16,1
0,-4,2,1,16,1
0,0,3,1,16,1
0,4,4,1,16,1
